name,album,artist,spotify_url,album_cover,time_period
360,360,Charli XCX,https://open.spotify.com/track/7JxexWxny7yJ3slTLmWz2U,https://i.scdn.co/image/ab67616d0000b27352b3b1829d550ece26677087,short_term
Cold Blooded,Good Lies,Overmono,https://open.spotify.com/track/6ULPq2iNWiykHX1acI2SGn,https://i.scdn.co/image/ab67616d0000b273dd8fbf4e3c304f6b3602a745,short_term
Pisces Problems,Pisces Problems,TYSON,https://open.spotify.com/track/5UjX3Om5Cbob1U4nVxT69q,https://i.scdn.co/image/ab67616d0000b273d1f8a9a379b7660dce3b8842,short_term
(Sittin' On) the Dock of the Bay,The Dock of the Bay (Mono),Otis Redding,https://open.spotify.com/track/3zBhihYUHBmGd2bcQIobrF,https://i.scdn.co/image/ab67616d0000b2730acddc8ccf8d14858fbeddf5,short_term
Biking,Biking,Frank Ocean,https://open.spotify.com/track/2q0VexHJirnUPnEOhr2DxK,https://i.scdn.co/image/ab67616d0000b27369a8328489e5e485514a8667,short_term
How It Feels,When Will We Land?,Barry Can't Swim,https://open.spotify.com/track/3NZz7DWeVQesSOn6mO39F7,https://i.scdn.co/image/ab67616d0000b27316bc57c40991e6d3267765ab,short_term
Von dutch,Von dutch,Charli XCX,https://open.spotify.com/track/01TnMXIy7mJJQ7E8uy937N,https://i.scdn.co/image/ab67616d0000b2735a933871a40c5b9e1deea8d3,short_term
I Say a Little Prayer,Aretha Now,Aretha Franklin,https://open.spotify.com/track/3NfxSdJnVdon1axzloJgba,https://i.scdn.co/image/ab67616d0000b27346c31f64babcbfca6e061b6b,short_term
Sunny,Sunny,Bobby Hebb,https://open.spotify.com/track/4vju55Ag7apDL2CfotuE7Q,https://i.scdn.co/image/ab67616d0000b273104dd939c10a2ef4fde1f1df,short_term
Fuck Tha Police,Straight Outta Compton,N.W.A.,https://open.spotify.com/track/5n8Aro6j1bEGIy7Tpo7FV7,https://i.scdn.co/image/ab67616d0000b273c79a70e8167cc1a4fab83781,short_term
every day is a game,every day is a game,Night Tapes,https://open.spotify.com/track/64ircYoqL31h8dhGPpiUYO,https://i.scdn.co/image/ab67616d0000b273b1ae581e4fa6796e58a91c19,short_term
Look At My Body Pt. II (Feat. Shygirl),Look at My Body Pt. II (Feat. Shygirl),Mabel,https://open.spotify.com/track/6TRVOa4l8uYvc7oPkXk3W5,https://i.scdn.co/image/ab67616d0000b2733e4c6072d0414757e13d3567,short_term
